|| Current time  || Distance ||   Disk  ||
------------------------------------------
||   20:57:04    ||   13.29  ||  0.00   ||
||   20:57:04    ||   26.03  ||  0.00   ||
||   20:57:04    ||   38.07  ||  0.00   ||
||   20:57:05    ||   38.07  ||  0.00   ||
||   20:57:05    ||   49.46  ||  5.99   ||
||   20:57:05    ||   60.32  || 87.02   ||
||   20:57:05    ||   70.64  || 93.53   ||
||   20:57:05    ||   80.45  || 99.00   ||
||   20:57:05    ||   89.87  || 99.00   ||
||   20:57:05    ||   98.65  || 99.00   ||
||   20:57:30    ||   77.69  || 98.50   ||
||   20:57:30    ||   75.66  || 96.60   ||
||   20:57:30    ||   73.74  || 95.52   ||
||   20:57:30    ||   71.88  || 94.08   ||
||   20:57:31    ||   70.10  || 93.05   ||
||   20:57:31    ||   68.40  || 92.03   ||
||   20:57:31    ||   66.81  || 91.03   ||
||   20:57:31    ||   65.28  || 90.03   ||
||   20:57:31    ||   63.85  || 89.50   ||
||   20:57:31    ||   62.49  || 88.51   ||
||   20:57:31    ||   61.20  || 87.52   ||
||   20:57:31    ||   59.97  || 12.50   ||
||   20:57:31    ||   58.80  || 11.98   ||
||   20:57:32    ||   57.67  || 11.46   ||
||   20:57:32    ||   56.60  || 10.49   ||
||   20:57:32    ||   55.58  ||  9.97   ||
||   20:57:32    ||   54.61  ||  9.46   ||
||   20:57:32    ||   53.75  ||  8.96   ||
||   20:57:32    ||   52.89  ||  8.45   ||
||   20:57:32    ||   52.06  ||  7.95   ||
||   20:57:32    ||   51.28  ||  7.44   ||
||   20:57:33    ||   50.52  ||  6.94   ||
||   20:57:33    ||   49.80  ||  6.45   ||
||   20:57:33    ||   49.15  ||  5.96   ||
||   20:57:33    ||   48.51  ||  5.47   ||
||   20:57:33    ||   47.90  ||  4.99   ||
||   20:57:33    ||   47.30  ||  4.92   ||
||   20:57:33    ||   46.77  ||  4.45   ||
||   20:57:33    ||   46.23  ||  3.98   ||
||   20:57:34    ||   45.72  ||  3.91   ||
||   20:57:34    ||   45.23  ||  3.44   ||
||   20:57:34    ||   44.78  ||  3.00   ||
||   20:57:34    ||   44.34  ||  2.92   ||
||   20:57:34    ||   43.94  ||  2.49   ||
||   20:57:34    ||   43.57  ||  2.41   ||
||   20:57:34    ||   43.23  ||  2.34   ||
||   20:57:34    ||   42.86  ||  1.91   ||
||   20:57:35    ||   42.53  ||  1.83   ||
||   20:57:35    ||   42.20  ||  1.44   ||
||   20:57:35    ||   41.90  ||  1.34   ||
||   20:57:35    ||   41.62  ||  1.26   ||
||   20:57:35    ||   41.37  ||  0.90   ||
||   20:57:35    ||   41.11  ||  0.80   ||
||   20:57:35    ||   40.84  ||  0.68   ||
||   20:57:35    ||   40.58  ||  0.36   ||
||   20:57:36    ||   40.35  ||  0.22   ||
||   20:57:36    ||   40.11  ||  0.07   ||
||   20:57:36    ||   39.89  ||  0.00   ||
