|| Current time  || Distance ||  X-Motor  ||
--------------------------------------------
||   20:59:26    ||    0.00  || -100.00   ||
||   20:59:27    ||    0.00  || -100.00   ||
||   20:59:27    ||    0.00  || -100.00   ||
||   20:59:27    ||    0.00  || -100.00   ||
||   20:59:27    ||    2.11  || -99.22   ||
||   20:59:27    ||    2.11  || -99.22   ||
||   20:59:27    ||    2.11  || -99.22   ||
||   20:59:28    ||    2.11  || -99.22   ||
||   20:59:28    ||    2.11  || -99.22   ||
||   20:59:28    ||    2.11  || -99.22   ||
||   20:59:28    ||   15.41  || -95.66   ||
||   20:59:28    ||   28.00  || -93.00   ||
||   20:59:29    ||   39.98  || -70.00   ||
||   20:59:29    ||   51.23  || -70.37   ||
||   20:59:29    ||   62.05  || -69.83   ||
||   20:59:29    ||   72.22  || -69.62   ||
||   20:59:29    ||   81.88  || -70.00   ||
||   20:59:29    ||   91.12  || -70.00   ||
||   20:59:29    ||   99.88  || -70.00   ||
||   20:59:30    ||  108.18  || -30.50   ||
||   20:59:30    ||  116.04  || -30.00   ||
||   20:59:30    ||  123.68  || -30.41   ||
||   20:59:30    ||  130.79  || -30.38   ||
||   20:59:30    ||  137.52  || -30.21   ||
||   20:59:30    ||  143.98  || -29.67   ||
||   20:59:30    ||  150.07  || -29.64   ||
||   20:59:31    ||  156.01  || -29.60   ||
||   20:59:31    ||  161.46  || -29.55   ||
||   20:59:31    ||  166.92  || -30.00   ||
||   20:59:31    ||  171.93  || -29.50   ||
||   20:59:31    ||  176.80  || -29.52   ||
||   20:59:31    ||  181.26  ||  0.00   ||
||   20:59:31    ||  185.49  || -0.40   ||
||   20:59:32    ||  189.81  || -0.68   ||
||   20:59:32    ||  193.81  || -0.77   ||
||   20:59:32    ||  197.58  || -0.60   ||
||   20:59:32    ||  201.07  ||  0.33   ||
||   20:59:32    ||  201.07  ||  0.33   ||
||   20:59:32    ||  204.48  ||  0.81   ||
||   20:59:32    ||  207.64  ||  0.96   ||
||   20:59:33    ||  210.55  ||  1.24   ||
||   20:59:33    ||  213.49  ||  0.42   ||
||   20:59:33    ||  216.07  ||  0.40   ||
||   20:59:33    ||  218.56  ||  0.81   ||
||   20:59:33    ||  221.14  ||  0.44   ||
||   20:59:33    ||  223.42  || 29.52   ||
||   20:59:33    ||  225.54  || 30.00   ||
||   20:59:34    ||  227.69  || 30.00   ||
||   20:59:34    ||  227.69  || 30.00   ||
||   20:59:34    ||  229.64  || 30.00   ||
||   20:59:34    ||  231.43  || 30.00   ||
||   20:59:34    ||  233.22  || 29.52   ||
||   20:59:34    ||  234.83  || 30.00   ||
||   20:59:34    ||  236.36  || 29.55   ||
||   20:59:35    ||  236.36  || 29.55   ||
||   20:59:35    ||  238.03  || 29.54   ||
||   20:59:35    ||  239.53  || 29.57   ||
||   20:59:35    ||  241.06  || 29.57   ||
||   20:59:35    ||  242.35  || 29.56   ||
||   20:59:35    ||  243.57  || 29.59   ||
||   20:59:35    ||  244.75  || 29.58   ||
||   20:59:36    ||  245.94  || 29.61   ||
||   20:59:36    ||  247.11  || 29.60   ||
||   20:59:36    ||  248.14  || 29.58   ||
||   20:59:36    ||  249.05  || 29.61   ||
||   20:59:36    ||  250.07  || 29.59   ||
||   20:59:36    ||  250.93  || 29.62   ||
||   20:59:36    ||  251.87  || 29.66   ||
||   20:59:36    ||  252.70  || 29.64   ||
||   20:59:37    ||  253.38  || 29.67   ||
||   20:59:37    ||  254.07  || 29.63   ||
||   20:59:37    ||  254.75  || 29.67   ||
||   20:59:37    ||  254.75  || 29.67   ||
||   20:59:37    ||  255.29  || 29.71   ||
||   20:59:37    ||  255.84  || 29.74   ||
||   20:59:38    ||  256.58  || 29.72   ||
||   20:59:38    ||  257.07  || 29.76   ||
||   20:59:38    ||  257.58  || 29.80   ||
||   20:59:38    ||  258.02  || 29.75   ||
||   20:59:38    ||  258.50  || 29.81   ||
||   20:59:38    ||  258.96  || 29.87   ||
||   20:59:38    ||  259.40  || 29.93   ||
||   20:59:39    ||  259.40  || 29.93   ||
||   20:59:39    ||  259.68  || 29.96   ||
||   20:59:39    ||  260.19  || 30.02   ||
||   20:59:39    ||  260.43  || 30.05   ||
||   20:59:39    ||  260.79  || 30.10   ||
||   20:59:39    ||  261.09  || 30.14   ||
||   20:59:39    ||  261.36  || 30.17   ||
||   20:59:40    ||  261.55  || 30.19   ||
||   20:59:40    ||  261.81  || 30.23   ||
||   20:59:40    ||  262.06  || 30.17   ||
||   20:59:40    ||  262.53  || 30.21   ||
||   20:59:40    ||  262.68  || 30.22   ||
||   20:59:40    ||  263.04  || 30.25   ||
||   20:59:40    ||  263.04  || 30.25   ||
||   20:59:41    ||  263.21  || 30.27   ||
||   20:59:41    ||  263.31  || 30.28   ||
||   20:59:41    ||  263.49  || 30.29   ||
||   20:59:41    ||  263.59  || 30.30   ||
||   20:59:41    ||  263.69  || 30.31   ||
||   20:59:41    ||  263.83  || 30.32   ||
||   20:59:41    ||  263.98  || 30.33   ||
||   20:59:41    ||  264.06  || 30.25   ||
||   20:59:42    ||  264.06  || 30.25   ||
||   20:59:42    ||  264.29  || 30.27   ||
||   20:59:42    ||  264.40  || 30.28   ||
||   20:59:42    ||  264.44  || 30.28   ||
||   20:59:42    ||  264.68  || 30.29   ||
||   20:59:42    ||  264.79  || 30.30   ||
||   20:59:42    ||  265.04  || 30.32   ||
||   20:59:43    ||  265.09  || 30.32   ||
||   20:59:43    ||  265.14  || 30.32   ||
||   20:59:43    ||  265.16  || 30.32   ||
||   20:59:43    ||  265.31  || 30.33   ||
||   20:59:43    ||  265.32  || 30.33   ||
||   20:59:43    ||  265.31  || 30.33   ||
