|| Current time  || Distance || Z-Motor ||
------------------------------------------
||   21:03:47    ||    0.00  || 49.75   ||
||   21:03:47    ||    0.00  || 49.75   ||
||   21:03:47    ||    0.00  || 49.75   ||
||   21:03:47    ||    0.00  || 49.75   ||
||   21:03:47    ||    0.00  || 49.75   ||
||   21:03:48    ||    0.00  || 49.75   ||
||   21:02:56    ||   13.35  || 49.75   ||
||   21:02:56    ||   25.99  || 49.75   ||
||   21:02:56    ||   38.02  || 49.75   ||
||   21:02:56    ||   38.02  || 49.75   ||
||   21:02:57    ||   49.43  || 49.75   ||
||   21:02:57    ||   49.43  || 49.75   ||
||   21:02:57    ||   60.33  || 49.75   ||
||   21:02:57    ||   70.64  || 49.75   ||
||   21:02:57    ||   80.48  || 49.75   ||
||   21:02:57    ||   89.74  || 49.75   ||
||   21:02:58    ||   98.62  || 49.75   ||
||   21:02:58    ||  107.02  || 49.75   ||
||   21:02:58    ||  114.98  || 49.75   ||
||   21:02:58    ||  114.98  || 49.75   ||
||   21:02:58    ||  122.54  || 49.75   ||
||   21:02:58    ||  122.54  || 49.75   ||
||   21:02:59    ||  129.79  || 49.75   ||
||   21:02:59    ||  136.67  || 49.75   ||
||   21:02:59    ||  142.97  || 49.75   ||
||   21:02:59    ||  149.15  || 49.75   ||
||   21:02:59    ||  155.15  || 49.75   ||
||   21:02:59    ||  160.72  || 17.00   ||
||   21:02:59    ||  165.97  || 14.75   ||
||   21:02:59    ||  170.94  || 12.50   ||
||   21:03:00    ||  175.70  || 11.25   ||
||   21:03:00    ||  180.22  || 13.00   ||
||   21:03:00    ||  184.50  || 85.75   ||
||   21:03:00    ||  188.65  || 89.75   ||
||   21:03:00    ||  187.86  || 88.75   ||
||   21:03:00    ||  191.78  || 92.26   ||
||   21:03:00    ||  191.78  || 92.26   ||
||   21:03:01    ||  195.50  || 95.52   ||
||   21:03:01    ||  199.18  || 99.01   ||
||   21:03:01    ||  199.18  || 99.01   ||
||   21:03:01    ||  202.70  || 97.26   ||
||   21:03:01    ||  202.70  || 97.26   ||
||   21:03:01    ||  205.87  || 94.27   ||
||   21:03:02    ||  208.91  || 91.51   ||
||   21:03:02    ||  211.84  || 89.00   ||
||   21:03:02    ||  214.58  || 86.50   ||
||   21:03:02    ||  217.22  || 84.50   ||
||   21:03:02    ||  219.67  || 82.51   ||
||   21:03:02    ||  222.02  || 84.00   ||
||   21:03:02    ||  224.18  || 85.01   ||
||   21:03:03    ||  226.41  || 84.75   ||
||   21:03:03    ||  228.44  || 83.75   ||
||   21:03:03    ||  230.41  || 82.50   ||
||   21:03:03    ||  232.33  || 81.50   ||
||   21:03:03    ||  232.33  || 81.50   ||
||   21:03:03    ||  234.11  || 80.50   ||
||   21:03:03    ||  234.11  || 80.50   ||
||   21:03:04    ||  235.71  || 79.50   ||
||   21:03:04    ||  237.30  || 78.75   ||
||   21:03:04    ||  238.79  || 77.75   ||
||   21:03:04    ||  240.22  || 49.75   ||
||   21:03:04    ||  234.86  || 80.00   ||
||   21:03:04    ||  236.57  || 79.00   ||
||   21:03:04    ||  238.05  || 78.50   ||
||   21:03:05    ||  239.46  || 77.50   ||
||   21:03:05    ||  240.82  || 49.75   ||
||   21:03:05    ||  242.15  || 49.75   ||
||   21:03:05    ||  243.35  || 49.75   ||
||   21:03:05    ||  244.51  || 49.75   ||
||   21:03:05    ||  244.51  || 49.75   ||
||   21:03:09    ||  254.04  || 49.75   ||
||   21:03:09    ||  254.62  || 49.75   ||
||   21:03:09    ||  254.62  || 49.75   ||
||   21:03:09    ||  254.62  || 49.75   ||
||   21:03:09    ||  247.68  || 49.75   ||
||   21:03:09    ||  241.10  || 49.75   ||
||   21:03:10    ||  234.84  || 80.00   ||
||   21:03:10    ||  228.91  || 83.26   ||
||   21:03:10    ||  223.23  || 84.51   ||
||   21:03:10    ||  217.87  || 83.51   ||
||   21:03:10    ||  212.73  || 88.25   ||
||   21:03:10    ||  207.93  || 92.51   ||
||   21:03:10    ||  203.29  || 96.76   ||
||   21:03:10    ||  198.97  || 98.79   ||
||   21:03:11    ||  194.89  || 95.02   ||
||   21:03:11    ||  190.94  || 91.51   ||
||   21:03:11    ||  187.23  || 88.50   ||
||   21:03:11    ||  183.73  || 85.00   ||
||   21:03:11    ||  180.35  || 13.25   ||
||   21:03:11    ||  177.16  || 12.00   ||
||   21:03:11    ||  174.21  || 11.49   ||
||   21:03:11    ||  171.29  || 12.74   ||
||   21:03:12    ||  168.54  || 13.75   ||
||   21:03:12    ||  165.92  || 14.75   ||
||   21:03:12    ||  163.41  || 16.00   ||
||   21:03:12    ||  161.07  || 17.00   ||
||   21:03:12    ||  158.81  || 17.25   ||
||   21:03:12    ||  156.65  || 49.75   ||
